smallRNA_id	logFC_tumor_vs_normal_FC	P.Value_tumor_vs_normal_FC	adj.P.Val_tumor_vs_normal_FC	logFC_tumor_vs_normal_salmon	P.Value_tumor_vs_normal_salmon	adj.P.Val_tumor_vs_normal_salmon	gene_type
hsa_piR_016735_DQ593039	-0.196762947	0.577199314	0.683026044	0.01687723	0.961984753	0.968369607	piRNA
URS0000EFC666_GR_chr5_59703629_59703651_23_-	-0.210591272	0.577745785	0.683026044	-0.290597186	0.441493972	0.56347758	miRNA
URS000075D69B_GR_chrX_50013241_50013337_97_+	0.183985206	0.57813997	0.683026044	NA	NA	NA	precursor_RNA
URS000005E170_GR_chr1_207802490_207802513_24_-	-0.235919332	0.578684086	0.683026044	NA	NA	NA	miRNA
URS00005540D2_GR_chr19_13836595_13836615_21_-	-0.175337686	0.579877256	0.683026044	NA	NA	NA	miRNA
URS00007E4AED_GR_chr11_64891403_64891425_23_-	-0.187197402	0.580467184	0.683026044	NA	NA	NA	miRNA
URS00002AABED_GR_chr9_94178841_94178861_21_+	-0.180812556	0.580761867	0.683026044	NA	NA	NA	misc_RNA
URS000075AA41_GR_chr1_30968163_30968237_75_-	-0.206171683	0.580851708	0.683026044	NA	NA	NA	snoRNA
URS00000887D8_GR_chr19_13836447_13836467_21_-	0.178884272	0.580862229	0.683026044	0.046336756	0.886860722	0.91605364	misc_RNA
URS00006F1C13_GR_chr1_30968164_30968236_73_-	-0.206040231	0.581014671	0.683026044	-0.031532374	0.923634393	0.940164762	snoRNA
URS0000758206_GR_chr1_207802491_207802513_23_-	-0.234686139	0.581183235	0.683026044	NA	NA	NA	miRNA
URS00001C770D_GR_chr2_240456015_240456037_23_+	-0.293628646	0.581414672	0.683026044	0.010519084	0.982536283	0.985786128	miRNA
URS00007E4104_GR_chrX_50013256_50013278_23_+	0.183968877	0.581545522	0.683026044	0.66363268	0.264988718	0.382761482	miRNA
URS0000EFDAD6_GR_chr2_240456014_240456076_63_+	-0.29260963	0.581971141	0.683039439	-0.63911252	0.255877905	0.373155278	precursor_RNA
URS0000EFE6B5_GR_chrX_53557196_53557267_72_-	-0.169955249	0.584831408	0.685883926	-0.093588512	0.743795323	0.815486439	precursor_RNA
URS000075D19A_GR_chrX_53557192_53557274_83_-	-0.169566379	0.585642552	0.685883926	NA	NA	NA	precursor_RNA
URS00005D05D7_GR_chrX_53557193_53557273_81_-	-0.169566379	0.585642552	0.685883926	0.01606276	0.957640236	0.96574203	precursor_RNA
URS0000D56344_GR_chr12_122695907_122695999_93_-	0.224637483	0.588809001	0.68910294	NA	NA	NA	precursor_RNA
URS000047C79B_GR_chr6_28607156_28607227_72_+	-0.187314031	0.590407937	0.690484176	NA	NA	NA	tRNA
URS000071F654_GR_chr2_240456001_240456089_89_+	-0.284101946	0.591955811	0.69180378	NA	NA	NA	precursor_RNA
URS0000034CE9_GR_chr1_201469314_201469331_18_-	-0.212007598	0.598073394	0.698320817	NA	NA	NA	miRNA
URS000068CA2F_GR_chr5_59703606_59703703_98_-	-0.195850033	0.598379209	0.698320817	NA	NA	NA	precursor_RNA
URS0000EFD200_GR_chr5_59703628_59703688_61_-	-0.195072005	0.599580099	0.699174609	-0.216575431	0.655683392	0.749834395	precursor_RNA
URS000021C6A8_GR_chr2_218402692_218402712_21_+	-0.196584587	0.600225929	0.699174609	NA	NA	NA	miRNA
hsa_piR_004987_DQ576872	-0.189971622	0.600382806	0.699174609	-1.129834685	0.020198328	0.057117037	piRNA
URS000021550A_GR_chr14_20631160_20631232_73_-	0.164894772	0.60292723	0.701642203	0.231216606	0.432085306	0.553799476	tRNA
URS0000497496_GR_chr1_207801903_207801924_22_-	0.21480999	0.604305783	0.702750519	NA	NA	NA	miRNA
URS000061F57C_GR_chr12_124921755_124921826_72_-	-0.177123694	0.606118959	0.704362342	-0.774830088	0.594347165	0.698780259	tRNA
URS00003B7674_GR_chr9_94176353_94176374_22_+	-0.162886842	0.610686378	0.709170308	NA	NA	NA	miRNA
URS000003FD55_GR_chr7_1022990_1023012_23_-	-0.17250366	0.611956772	0.709692234	NA	NA	NA	miRNA
URS00006E19EA_GR_chr6_151298841_151298933_93_-	0.179836189	0.611996578	0.709692234	NA	NA	NA	Y_RNA
URS0000759DC6_GR_chr11_64891355_64891439_85_-	-0.166967049	0.617224031	0.715251179	NA	NA	NA	precursor_RNA
URS00002B7232_GR_chr6_31541101_31541178_78_-	0.286136054	0.619267566	0.717115321	0.297148634	0.67408279	0.763828921	snoRNA
URS00005B30A9_GR_chr6_28673836_28673907_72_-	-0.17258563	0.622767574	0.720662266	1.026343541	0.344965719	0.46993833	tRNA
URS0000EFB9CA_GR_chr16_14303979_14304038_60_+	0.187838241	0.625308215	0.723094843	-1.03284445	0.12479596	0.218813726	precursor_RNA
URS0000EFCBF4_GR_chr2_135665410_135665466_57_+	0.154156394	0.62603924	0.723233221	NA	NA	NA	precursor_RNA
URS000046FA49_GR_chr3_35744476_35744559_84_+	0.156905238	0.626305057	0.723233221	NA	NA	NA	precursor_RNA
hsa_piR_020813_DQ598646	-0.214734966	0.627250885	0.723818551	-0.079034862	0.849960569	0.8952131	piRNA
URS000069818E_GR_chr11_64891355_64891440_86_-	-0.161114467	0.628421809	0.724662632	NA	NA	NA	precursor_RNA
URS0000EFD809_GR_chr1_109598900_109598961_62_+	-0.162757517	0.62949924	0.725317411	NA	NA	NA	precursor_RNA
URS0000130A5F_GR_chr11_62853326_62853393_68_-	0.204696933	0.629908201	0.725317411	0.292864559	0.475948957	0.594972008	snoRNA
URS000066CF48_GR_chr11_62853325_62853395_71_-	0.204140468	0.630739268	0.725317411	NA	NA	NA	snoRNA
URS000061E740_GR_chr1_109598940_109598961_22_+	-0.162250503	0.63104891	0.725317411	-0.265393337	0.427612663	0.551090131	miRNA
URS0000EFD63D_GR_chr7_1022954_1023012_59_-	-0.158411438	0.631188893	0.725317411	-0.251438542	0.437660502	0.559369461	precursor_RNA
URS000066F693_GR_chr19_31995809_31995876_68_+	-0.191742654	0.631781074	0.725492334	NA	NA	NA	tRNA
URS00006EEC83_GR_chr7_1022932_1023027_96_-	-0.157599604	0.633164511	0.726069735	NA	NA	NA	precursor_RNA
URS000075B703_GR_chr7_1022933_1023026_94_-	-0.157599604	0.633164511	0.726069735	NA	NA	NA	precursor_RNA
URS0000D52318_GR_chrX_134541365_134541386_22_-	-0.167580725	0.635760749	0.728540288	0.09709016	0.755003878	0.824794152	miRNA
URS0000D51877_GR_chr13_91350655_91350677_23_+	0.156337807	0.638332771	0.730821923	0.176741158	0.573638023	0.678817427	miRNA
URS00007B250F_GR_chrX_50003148_50003238_91_+	0.142668377	0.638640611	0.730821923	NA	NA	NA	precursor_RNA
hsa_piR_020450_DQ598104	-0.145380378	0.639157766	0.730821923	-0.02662008	0.918708763	0.938299635	piRNA
URS0000EFD6AE_GR_chrX_50003166_50003225_60_+	0.142281769	0.639524582	0.730821923	-0.180666785	0.534097016	0.647000436	precursor_RNA
URS00006174C2_GR_chr1_161440825_161440896_72_-	0.15734373	0.640389427	0.731303438	0.151310861	0.638374781	0.736275096	tRNA
URS000072D134_GR_chrX_139924148_139924231_84_-	-0.187851316	0.647472631	0.738880532	NA	NA	NA	precursor_RNA
URS0000D52200_GR_chrX_151958628_151958651_24_-	-0.262902005	0.649596587	0.740682298	NA	NA	NA	miRNA
URS0000D55DFB_GR_chrX_151958628_151958652_25_-	-0.262784917	0.649949839	0.740682298	NA	NA	NA	miRNA
URS00007E4F2D_GR_chr9_94178895_94178915_21_+	-0.171679073	0.652163055	0.742691214	NA	NA	NA	miRNA
URS000067EB9D_GR_chr1_44777843_44777912_70_+	0.138234294	0.655008236	0.745416551	0.237783759	0.705481496	0.789866057	snoRNA
URS000040DCFF_GR_chr1_71067681_71067702_22_-	-0.136546097	0.655737571	0.7457319	NA	NA	NA	miRNA
URS0000706C1B_GR_chr2_28913664_28913748_85_+	0.173671014	0.657010379	0.746664449	0.099609781	0.909812236	0.931303864	snoRNA
URS000038B599_GR_chrX_134169382_134169403_22_-	0.198555487	0.661732945	0.751513517	-0.077137077	0.886288276	0.91605364	miRNA
URS00005BBB0D_GR_chr5_138561043_138561110_68_-	0.208240362	0.663467989	0.752965391	0.196474056	0.69230383	0.77873484	snoRNA
URS000016CF30_GR_chr15_89368031_89368092_62_+	0.459340599	0.667330786	0.753277415	NA	NA	NA	precursor_RNA
URS00006AA83D_GR_chr15_89368031_89368092_62_-	0.459340599	0.667330786	0.753277415	NA	NA	NA	precursor_RNA
URS0000572190_GR_chr1_156420354_156420415_62_+	0.460354549	0.667657178	0.753277415	NA	NA	NA	precursor_RNA
URS0000634891_GR_chr1_156420354_156420415_62_-	0.460354549	0.667657178	0.753277415	NA	NA	NA	precursor_RNA
URS00002A6B75_GR_chr5_88666866_88666925_60_-	0.460354549	0.667657178	0.753277415	NA	NA	NA	precursor_RNA
URS00003C7219_GR_chr5_88666866_88666925_60_+	0.460354549	0.667657178	0.753277415	NA	NA	NA	precursor_RNA
URS00003FA6CD_GR_chr5_88666853_88666939_87_-	0.460435545	0.667665669	0.753277415	NA	NA	NA	precursor_RNA
URS000075C54E_GR_chr1_156420341_156420429_89_-	0.460297845	0.667744898	0.753277415	NA	NA	NA	precursor_RNA
URS0000EFC850_GR_chr1_156420353_156420414_62_-	0.459460894	0.668311012	0.753277415	-0.669254831	0.71122922	0.792819984	precursor_RNA
URS0000EFE40E_GR_chr5_88666865_88666924_60_-	0.459460894	0.668311012	0.753277415	0.790252363	0.448901913	0.570169563	precursor_RNA
URS00005D97FE_GR_chr15_89368017_89368106_90_+	0.456390462	0.6691594	0.753718478	NA	NA	NA	precursor_RNA
URS00002F16B0_GR_chrX_151958629_151958651_23_-	-0.2696441	0.674699749	0.759112172	NA	NA	NA	miRNA
URS0000611746_GR_chr7_27169528_27169549_22_-	0.159948883	0.674868674	0.759112172	NA	NA	NA	miRNA
URS0000D51824_GR_chrX_139924159_139924181_23_-	0.186690448	0.675462251	0.759147275	0.183262791	0.688090974	0.775914234	miRNA
hsa_piR_019676_DQ596993	0.160792278	0.675820618	0.759147275	0.219463265	0.530127315	0.644940985	piRNA
URS0000EFBA11_GR_chrX_139924158_139924217_60_-	-0.17078095	0.677458311	0.759348442	-0.577313837	0.153826279	0.255441449	precursor_RNA
URS00003640C3_GR_chr1_44777842_44777912_71_+	0.128140676	0.677564691	0.759348442	-0.007070708	0.981988806	0.985786128	snoRNA
URS000059311D_GR_chr9_95085505_95085525_21_+	-0.133691292	0.677795873	0.759348442	-0.080502821	0.818073469	0.87307645	miRNA
URS000000B1C9_GR_chr19_51692793_51692814_22_+	0.126454755	0.677841666	0.759348442	0.176001623	0.542205657	0.651516426	miRNA
URS000009C1FC_GR_chr6_26575631_26575660_30_+	0.179698061	0.679505457	0.760695518	-0.271496233	0.597770127	0.701280228	piRNA
hsa_piR_012681_DQ587153	-0.155986179	0.685496989	0.766882317	NA	NA	NA	piRNA
URS00000B0351_GR_chr3_52268276_52268363_88_-	0.112444021	0.686782982	0.767452908	NA	NA	NA	precursor_RNA
URS00003DBD40_GR_chr3_52268278_52268361_84_-	0.112281174	0.687231484	0.767452908	1.265021241	0.005072855	0.021175679	precursor_RNA
URS000075DD05_GR_chr7_157574387_157574409_23_-	0.207446223	0.687403241	0.767452908	-0.232425124	0.87200154	0.912093565	miRNA
URS0000EFEEBA_GR_chr9_95085462_95085525_64_+	-0.12793237	0.691160179	0.770984422	NA	NA	NA	precursor_RNA
URS00006529EE_GR_chr12_48927939_48928033_95_-	0.128849276	0.691501492	0.770984422	NA	NA	NA	Y_RNA
URS0000651CAB_GR_chr15_66503243_66503314_72_-	-0.124979146	0.694007258	0.771846216	-0.171204281	0.561042309	0.668257201	snoRNA
URS000075DE48_GR_chr19_51692786_51692864_79_+	0.11969763	0.694146718	0.771846216	NA	NA	NA	precursor_RNA
URS0000702A26_GR_chr19_51692787_51692863_77_+	0.11969763	0.694146718	0.771846216	-0.238723169	0.549168403	0.657556903	precursor_RNA
URS0000EFD799_GR_chr19_51692792_51692859_68_+	0.11969763	0.694146718	0.771846216	-0.068115507	0.827343074	0.877832208	precursor_RNA
URS00004636A3_GR_chr13_91350655_91350676_22_+	0.129950274	0.69542192	0.772671955	NA	NA	NA	miRNA
URS00006EA995_GR_chr6_25192413_25192490_78_+	0.145156332	0.695826473	0.772671955	NA	NA	NA	Y_RNA
URS00002D7BB5_GR_chr17_75033906_75033978_73_+	0.163921416	0.697229356	0.773708754	2.286562017	0.060105968	0.129305983	tRNA
URS00003A2C6C_GR_chr2_207110042_207110063_22_-	-0.144893351	0.698889783	0.77502976	NA	NA	NA	miRNA
URS000071E736_GR_chr12_95617689_95617786_98_+	0.125233161	0.699816862	0.775536294	NA	NA	NA	Y_RNA
URS00004208C5_GR_chr1_156420392_156420414_23_-	0.398899756	0.7007897	0.776092824	NA	NA	NA	miRNA
URS000028BBF9_GR_chr19_43460872_43460893_22_+	0.119724492	0.702074291	0.776993628	NA	NA	NA	miRNA
URS0000A81496_GR_chr1_240341385_240341477_93_+	0.123637092	0.704205555	0.778793777	0.650756148	0.040704705	0.094708917	Y_RNA
URS00002D9CBA_GR_chr2_135665397_135665478_82_+	0.122393066	0.704812798	0.778793777	-0.048580391	0.880226522	0.91605364	precursor_RNA
URS0000EFEEE4_GR_chr9_94178840_94178915_76_+	0.132712811	0.705117713	0.778793777	0.117278896	0.733697165	0.808310437	precursor_RNA
URS00004DF250_GR_chr15_66503245_66503314_70_-	-0.1195395	0.705671884	0.778884161	NA	NA	NA	snoRNA
URS0000391DB6_GR_chr19_13836594_13836615_22_-	-0.120323006	0.707029004	0.779860085	-0.270734982	0.371742931	0.493848274	miRNA
URS0000450D8E_GR_chr9_131485722_131485750_29_+	-0.115429333	0.711112078	0.783630705	NA	NA	NA	piRNA
URS000075E488_GR_chr2_28913662_28913750_89_+	0.140018493	0.711397917	0.783630705	-0.032185778	0.939671581	0.95329001	snoRNA
URS00006A38AA_GR_chr16_71758402_71758487_86_-	-0.14579427	0.712731072	0.784575125	0.077748682	0.835850231	0.884446174	snoRNA
URS000040ABF2_GR_chr7_157574336_157574422_87_-	0.183297173	0.715376012	0.786961337	NA	NA	NA	precursor_RNA
URS000075D908_GR_chr7_27169527_27169549_23_-	0.138468049	0.716410692	0.787574154	NA	NA	NA	miRNA
URS00000FA8B2_GR_chr6_26575570_26575662_93_+	0.179538808	0.718169363	0.788519958	-0.896157277	0.019814003	0.056700449	tRNA
URS00004E8341_GR_chrX_50003167_50003188_22_+	0.112763527	0.718227396	0.788519958	0.985986311	0.160668825	0.262572632	miRNA
URS0000733374_GR_chr6_26305490_26305573_84_-	0.130765605	0.720176984	0.790134296	NA	NA	NA	tRNA
URS00006F72B0_GR_chr15_100638363_100638457_95_+	0.115871195	0.722311929	0.791228568	NA	NA	NA	Y_RNA
hsa_piR_009228_DQ582496	-0.155000317	0.722332931	0.791228568	NA	NA	NA	piRNA
URS00004E008F_GR_chr19_46018961_46018982_22_+	0.114073513	0.722796073	0.791228568	NA	NA	NA	miRNA
URS000081F58C_GR_chr20_2462959_2463040_82_-	0.126472839	0.723468344	0.791228568	0.176739076	0.574975937	0.679517016	snoRNA
URS00004C37B0_GR_chr7_27169478_27169567_90_-	0.134680363	0.723573488	0.791228568	NA	NA	NA	precursor_RNA
URS000075EC44_GR_chr20_2462952_2463047_96_-	0.125736538	0.725003687	0.792125625	NA	NA	NA	snoRNA
URS00006A9CD9_GR_chr4_185709873_185709967_95_-	0.114607643	0.725354575	0.792125625	NA	NA	NA	Y_RNA
URS00000114BC_GR_chr10_102436520_102436543_24_+	0.129860551	0.726488219	0.792838566	0.113217982	0.745735216	0.816629418	miRNA
URS0000EFD29D_GR_chrX_134169381_134169446_66_-	0.157928561	0.727801247	0.793260303	NA	NA	NA	precursor_RNA
URS0000EFBC1D_GR_chr3_52268279_52268357_79_-	0.096687831	0.727836773	0.793260303	-0.475967265	0.128311972	0.223900712	precursor_RNA
URS0000406CED_GR_chr20_2656939_2657010_72_+	-0.131178825	0.729352976	0.794132218	-0.09087033	0.8028155	0.861511916	snoRNA
URS0000EFBA75_GR_chr7_27169491_27169549_59_-	0.13160914	0.729906813	0.794132218	-0.029231709	0.936318751	0.950948732	precursor_RNA
URS000075D019_GR_chr7_27169480_27169563_84_-	0.131524087	0.73008153	0.794132218	NA	NA	NA	precursor_RNA
URS0000EFDCA4_GR_chr7_157574348_157574409_62_-	0.177199655	0.731432968	0.795077762	NA	NA	NA	precursor_RNA
URS00003F659E_GR_chrX_50008482_50008503_22_+	0.118018577	0.733583368	0.796377882	NA	NA	NA	miRNA
URS000075E6A6_GR_chrX_134169378_134169452_75_-	0.154335064	0.733594908	0.796377882	0.224813167	0.665096997	0.755918001	precursor_RNA
URS000075BAEB_GR_chr16_14303967_14304049_83_+	0.129987533	0.73713004	0.799689103	-0.754041602	0.102251339	0.188357729	precursor_RNA
URS0000EFE0E6_GR_chr19_13836446_13836508_63_-	0.105188485	0.743004934	0.804531266	-0.315177021	0.341428876	0.466516933	precursor_RNA
URS000021FE07_GR_chr19_13836439_13836518_80_-	0.105169585	0.743057076	0.804531266	NA	NA	NA	misc_RNA
URS0000233054_GR_chr19_13836440_13836517_78_-	0.105169585	0.743057076	0.804531266	0.605717716	0.106233136	0.193731771	precursor_RNA
URS00000EC1BE_GR_chr17_12081899_12081996_98_+	-0.109652734	0.74386792	0.804880709	0.089046435	0.865257568	0.906080998	precursor_RNA
URS0000390F3A_GR_chr17_75034431_75034503_73_-	0.134952766	0.748263481	0.809105888	1.913357911	0.184122901	0.292411588	tRNA
URS0000EFDE00_GR_chr17_81125885_81125944_60_-	-0.127722099	0.752045367	0.812217244	-0.393758615	0.355642368	0.479433855	precursor_RNA
URS00003FB16B_GR_chr17_81125886_81125908_23_+	-0.127936875	0.752842533	0.812217244	NA	NA	NA	miRNA
URS000075B45F_GR_chr17_81125886_81125908_23_-	-0.127936875	0.752842533	0.812217244	0.276861333	0.542691704	0.651516426	miRNA
URS0000142DC3_GR_chr17_1713952_1713973_22_-	0.129555314	0.753111077	0.812217244	NA	NA	NA	miRNA
URS00004B2A47_GR_chr8_134804879_134804900_22_-	0.134375173	0.755294745	0.814039892	-0.215774938	0.617561708	0.716812697	miRNA
URS00002573C3_GR_chr5_59703630_59703651_22_-	-0.115897965	0.757478639	0.814541091	NA	NA	NA	miRNA
URS0000255FE6_GR_chr20_3917494_3917571_78_+	0.107935823	0.758120161	0.814541091	0.545801559	0.213763275	0.326383524	precursor_RNA
URS00004BEE5E_GR_chr12_56645027_56645101_75_-	-0.124635294	0.758538129	0.814541091	-0.069151497	0.860828529	0.903522447	snoRNA
URS0000209048_GR_chr6_28658237_28658308_72_-	0.114773925	0.758669178	0.814541091	1.008234861	0.158895199	0.260530866	tRNA
URS000075ED36_GR_chr5_168560904_168560965_62_+	0.107778423	0.758911774	0.814541091	NA	NA	NA	precursor_RNA
URS0000EFB9F2_GR_chr17_81125886_81125910_25_+	-0.124113662	0.760020967	0.814541091	NA	NA	NA	miRNA
URS000075D426_GR_chr20_3917502_3917563_62_-	0.107174716	0.760312085	0.814541091	NA	NA	NA	precursor_RNA
URS0000EFB9FB_GR_chr20_3917503_3917563_61_+	0.107174716	0.760312085	0.814541091	NA	NA	NA	precursor_RNA
URS0000476BE1_GR_chr20_3917541_3917563_23_+	0.10892636	0.761703529	0.814541091	0.524407118	0.199314956	0.311109107	miRNA
URS000075C8F4_GR_chr20_3917541_3917563_23_-	0.10892636	0.761703529	0.814541091	NA	NA	NA	miRNA
URS0000CA1E16_GR_chr1_171713465_171713482_18_-	0.122181216	0.762111845	0.814541091	NA	NA	NA	miRNA
URS000075E4E2_GR_chr15_25056859_25056955_97_+	-0.126772215	0.762198306	0.814541091	NA	NA	NA	snoRNA
URS000075D52C_GR_chr2_207109987_207110073_87_-	-0.110159679	0.762675224	0.814541091	NA	NA	NA	precursor_RNA
URS0000EFCA1B_GR_chr2_207109996_207110063_68_-	-0.110159679	0.762675224	0.814541091	-0.219457353	0.563272555	0.670036634	precursor_RNA
URS0000561D92_GR_chr5_168560896_168560973_78_-	0.105562265	0.763746014	0.815156749	-0.1079166	0.811925479	0.869237865	precursor_RNA
URS0000EFDC01_GR_chr5_168560903_168560963_61_-	0.105261078	0.764407006	0.815334511	0.175659153	0.698977718	0.784302989	precursor_RNA
URS0000700FD3_GR_chr15_25056860_25056954_95_+	-0.123944491	0.767182497	0.817765958	0.006292674	0.987719207	0.988805806	snoRNA
URS0000166778_GR_chr9_95086063_95086083_21_-	-0.118943865	0.769265246	0.819456324	NA	NA	NA	miRNA
hsa_piR_006426_DQ578783	0.106341502	0.770262423	0.819988854	0.059227998	0.881999694	0.91605364	piRNA
URS000027190B_GR_chr21_8216294_8216322_29_+	0.117746303	0.772214301	0.821536376	NA	NA	NA	piRNA
URS000041847A_GR_chr1_207802453_207802472_20_-	0.099334678	0.774877008	0.823823153	NA	NA	NA	miRNA
URS00000580E2_GR_chrM_2247_2273_27_+	0.160364157	0.775362968	0.823823153	NA	NA	NA	piRNA
URS00006E167B_GR_chr8_140732578_140732654_77_-	0.08725609	0.779544633	0.827732839	NA	NA	NA	precursor_RNA
URS0000EFCEF6_GR_chr19_13874724_13874785_62_+	0.095632704	0.780707054	0.828303044	NA	NA	NA	precursor_RNA
URS00001650DC_GR_chr21_8210692_8210721_30_+	0.08581471	0.781086255	0.828303044	NA	NA	NA	piRNA
URS0000676B07_GR_chr19_13874717_13874791_75_+	0.094660981	0.782821264	0.828778045	-0.268416288	0.480187982	0.598590498	precursor_RNA
URS00002ECE14_GR_chr8_140732564_140732653_90_-	0.085869463	0.783041961	0.828778045	0.044535162	0.875570866	0.913726477	precursor_RNA
URS00006D5C6B_GR_chr8_140732578_140732652_75_+	0.085869463	0.783041961	0.828778045	NA	NA	NA	precursor_RNA
hsa_piR_020485_DQ598159	0.100110829	0.7896727	0.835259963	NA	NA	NA	piRNA
URS00003F2D94_GR_chr1_172144554_172144575_22_-	-0.092385757	0.791436008	0.836588447	1.345758371	0.387051178	0.511199669	miRNA
URS00005D7632_GR_chr17_35573657_35573753_97_+	0.124329887	0.798899219	0.843826651	0.341157861	0.6156119	0.715462106	snoRNA
URS0000285DCB_GR_chrX_74287295_74287316_22_-	0.086866367	0.799306992	0.843826651	-0.006783353	0.984059374	0.986226905	miRNA
hsa_piR_020388_DQ598008	0.108782601	0.801000306	0.84507326	NA	NA	NA	piRNA
URS000075EAB9_GR_chr15_25070431_25070527_97_+	-0.106605635	0.806946769	0.850802572	NA	NA	NA	snoRNA
URS000071A62C_GR_chr15_25070432_25070526_95_+	-0.10383441	0.811762259	0.855332885	-0.294458047	0.650778251	0.746794714	snoRNA
URS0000EFEAE0_GR_chr19_13836593_13836651_59_-	-0.073768826	0.815660962	0.858892035	0.981096835	0.339094035	0.464722247	precursor_RNA
URS0000EFF26A_GR_chr8_140732585_140732643_59_-	0.072813682	0.816601879	0.859334077	0.040595007	0.884207822	0.91605364	precursor_RNA
URS00001CC864_GR_chr19_13836587_13836659_73_-	-0.072677086	0.818347116	0.860288788	-0.151024572	0.675050141	0.763828921	precursor_RNA
URS000068668E_GR_chr1_161440171_161440242_72_-	-0.081587419	0.818552521	0.860288788	NA	NA	NA	tRNA
URS00001EF8BC_GR_chr19_13836583_13836663_81_-	-0.072296427	0.819212008	0.860433504	NA	NA	NA	misc_RNA
URS000058BF17_GR_chr1_116671787_116671808_22_+	0.081137774	0.824107861	0.865024738	-0.386025981	0.285967393	0.407246209	miRNA
URS0000244A71_GR_chr19_13874763_13874784_22_+	0.076127269	0.826961607	0.867467996	NA	NA	NA	miRNA
URS000034AAC2_GR_chr1_146037061_146037132_72_+	-0.073313864	0.832145361	0.872350732	0.08446488	0.819348669	0.87307645	tRNA
URS0000EFBC32_GR_chr17_12081908_12081986_79_+	-0.067705637	0.841543058	0.881641997	-0.256555032	0.599538004	0.701280228	precursor_RNA
URS000034C57A_GR_chr6_132815307_132815379_73_+	0.081205548	0.842173304	0.881742081	0.157820904	0.715281795	0.793788334	snoRNA
URS00004E57E7_GR_chr9_95085265_95085287_23_+	-0.056044943	0.846661124	0.885381542	-0.080710211	0.769326644	0.836856106	miRNA
URS000063C71D_GR_chrX_110055329_110055426_98_+	-0.074945332	0.846723281	0.885381542	-0.309317592	0.485380658	0.603410381	precursor_RNA
URS0000EFF543_GR_chr9_95085226_95085287_62_+	-0.055494753	0.848145765	0.886306949	NA	NA	NA	precursor_RNA
URS0000183BED_GR_chr9_95085265_95085285_21_+	-0.055867776	0.848919176	0.886553338	NA	NA	NA	miRNA
URS000075DF95_GR_chr10_102436520_102436542_23_+	0.067370407	0.851200725	0.888373414	NA	NA	NA	miRNA
URS0000013DD8_GR_chrX_110055389_110055409_21_+	-0.073068704	0.85418042	0.890919362	0.068488483	0.862476742	0.904209487	miRNA
URS00003C164B_GR_chr20_2656940_2656967_28_+	0.074080943	0.856601397	0.892879711	NA	NA	NA	piRNA
URS0000283D0A_GR_chr9_95085208_95085304_97_+	-0.051046815	0.860098141	0.895955766	NA	NA	NA	precursor_RNA
URS0000345516_GR_chr10_89592758_89592778_21_-	-0.065955535	0.860639135	0.895955766	NA	NA	NA	miRNA
URS000024C472_GR_chr9_95085219_95085293_75_+	-0.0505678	0.861431668	0.896215029	-0.356625482	0.230081638	0.343996969	precursor_RNA
URS000062C4DE_GR_chr11_76235825_76235896_72_-	0.082227308	0.861984021	0.896224244	0.555878794	0.256585269	0.373588152	tRNA
hsa_piR_000753_DQ570940	-0.064966173	0.863844017	0.897592177	-0.11989481	0.739618296	0.811884981	piRNA
URS00001D1556_GR_chr21_8215387_8215417_31_+	0.055478024	0.870545841	0.903479937	0.045964096	0.896020326	0.921845061	piRNA
URS00001DE669_GR_chr1_40754371_40754392_22_+	0.04833851	0.870606198	0.903479937	NA	NA	NA	miRNA
URS0000B52E69_GR_chr1_28241032_28241054_23_+	0.059446498	0.873026624	0.90537144	NA	NA	NA	miRNA
URS000075B7FD_GR_chr1_220200538_220200619_82_-	-0.057757547	0.873526962	0.90537144	NA	NA	NA	precursor_RNA
URS0000023412_GR_chr1_222465005_222465077_73_+	-0.051483769	0.874666932	0.905983524	NA	NA	NA	tRNA
URS0000EFC794_GR_chr17_81125885_81125948_64_+	-0.059603608	0.879878299	0.909939337	NA	NA	NA	precursor_RNA
URS00006DE18B_GR_chr14_20326450_20326526_77_-	-0.055902292	0.879891989	0.909939337	-0.095761527	0.789215327	0.852952432	snoRNA
URS000075E912_GR_chr17_81125877_81125955_79_+	-0.058891969	0.881297388	0.909939337	NA	NA	NA	precursor_RNA
URS0000652257_GR_chr17_81125878_81125957_80_-	-0.058891969	0.881297388	0.909939337	NA	NA	NA	precursor_RNA
URS000075E706_GR_chr17_81125883_81125949_67_-	-0.058891969	0.881297388	0.909939337	NA	NA	NA	precursor_RNA
URS000064906C_GR_chr19_13836440_13836521_82_-	0.048824539	0.881796883	0.909939337	NA	NA	NA	precursor_RNA
URS000075B243_GR_chr9_94178834_94178920_87_+	-0.048051548	0.889365735	0.916602561	NA	NA	NA	precursor_RNA
URS00004C105E_GR_chr9_94178835_94178919_85_+	-0.048051548	0.889365735	0.916602561	-0.905007067	0.025330678	0.066048473	precursor_RNA
hsa_piR_001152_DQ571500	0.064799127	0.890716064	0.917420855	0.133474617	0.777756572	0.84256962	piRNA
URS0000759F95_GR_chr14_20326441_20326539_99_-	-0.05020699	0.892088641	0.918261029	NA	NA	NA	snoRNA
URS000070BB97_GR_chr2_206161878_206161956_79_+	0.061022597	0.896468333	0.920878044	NA	NA	NA	snoRNA
